Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
243,"Western Michigan UniversityKalamazoo, MI",19098,28454,1100,0.85,16693,0.58,16.00
244,"Robert Morris UniversityMoon Township, PA",34740,20247,-,0.91,4737,0.66,14.00
245,"The University of Texas at San AntonioSan Antonio, TX",22217,28753,1100,0.88,34864,0.51,25.00
246,"University of OregonEugene, OR",41194,32709,1240,0.85,23786,0.71,20.00
247,"Ohio University-Main CampusAthens, OH",24114,17712,1190,0.85,24937,0.66,18.00
248,"Indiana State UniversityTerre Haute, IN",21734,16210,-,0.92,8304,0.41,17.00
249,"Arizona State University Campus ImmersionTempe, AZ",32193,26735,-,0.9,79593,0.68,18.00
250,"Sam Houston State UniversityHuntsville, TX",19020,16298,1050,0.85,21403,0.55,20.00
251,"Cardinal Stritch UniversityMilwaukee, WI",35444,12128,-,-,1332,0.51,7.00
252,"Georgia State UniversityAtlanta, GA",23709,23982,1160,0.62,34974,0.54,25.00
253,"Bowling Green State University-Main CampusBowling Green, OH",21378,16283,1110,0.81,17027,0.63,17.00
254,"Texas A & M University-KingsvilleKingsville, TX",26106,14560,1030,0.92,6562,0.46,16.00
255,"Kennesaw State UniversityKennesaw, GA",17040,20524,1120,0.69,45069,0.48,23.00
256,"Idaho State UniversityPocatello, ID",27466,30152,-,-,12614,0.38,13.00
257,"University of Arkansas at Little RockLittle Rock, AR",22067,15100,1040,0.58,8158,0.41,11.00
258,"East Tennessee State UniversityJohnson City, TN",13034,25904,1050,0.87,13586,0.5,18.00
259,"Nova Southeastern UniversityFort Lauderdale, FL",37080,24140,1180,0.73,20877,0.64,17.00
260,"University of MaineOrono, ME",35346,30948,-,0.96,11760,0.56,15.00
261,"Spalding UniversityLouisville, KY",27672,13110,985,0.99,1555,0.57,11.00
262,"Old Dominion UniversityNorfolk, VA",32662,35008,1190,0.91,22541,0.44,15.00
263,"University of WyomingLaramie, WY",22718,20996,-,0.97,10913,0.6,13.00
264,"Tennessee State UniversityNashville, TN",22284,23516,985,0.93,8198,0.33,13.00
265,"Florida Atlantic UniversityBoca Raton, FL",17324,18482,1110,0.73,30790,0.64,23.00
266,"North Carolina A & T State UniversityGreensboro, NC",20408,20903,1080,0.46,13885,0.55,20.00
267,"University of North Carolina at GreensboroGreensboro, NC",23339,22676,1180,0.9,17743,0.58,17.00
268,"Trinity International University-IllinoisDeerfield, IL",12320,18520,-,0.93,852,0.46,9.00
269,"University of MemphisMemphis, TN",14784,15228,1070,0.93,21736,0.49,17.00
270,"Trevecca Nazarene UniversityNashville, TN",30090,12624,1090,0.7,3196,0.55,22.00
271,"Boise State UniversityBoise, ID",26976,28605,-,0.84,26670,0.62,19.00
272,"SUNY College of Environmental Science and ForestrySyracuse, NY",21036,26389,-,0.83,2737,0.7,14.00
273,"The University of Texas at El PasoEl Paso, TX",25512,16621,980,1,24351,0.46,20.00
274,"Ashland UniversityAshland, OH",26390,7776,1080,0.81,4143,0.61,15.00
275,"Tennessee Technological UniversityCookeville, TN",20116,20740,1110,0.83,10117,0.54,16.00
276,"Liberty UniversityLynchburg, VA",15822,8340,-,0.99,103068,0.63,18.00
277,"University of Management and TechnologyArlington, VA",9450,7110,-,-,1167,1,30.00
,Average,50647,40070,1404,0.41,25171,0.84,13.00
